period,source,target,rank,distance_m,time_s,generalized_cost,allocation_pct,flow_person,path
noon,T_16_W,C_G,1,620,148.7,59.996,34.0,41,T_16_W → J_01 → J_02 → J_16 → J_18 → J_19 → J_49 → J_26 → J_27 → J_30 → C_G
noon,T_16_W,C_G,2,630,151.1,60.920,33.0,40,T_16_W → J_01 → J_03 → J_04 → J_19 → J_49 → J_26 → J_27 → J_30 → C_G
noon,T_16_W,C_G,3,630,151.1,60.995,32.9,40,T_16_W → J_01 → J_03 → J_02 → J_16 → J_18 → J_19 → J_49 → J_26 → J_27 → J_30 → C_G
noon,T_16_W,C_S,1,580,139.1,56.114,34.1,109,T_16_W → J_01 → J_02 → J_16 → J_18 → J_19 → J_20 → J_21 → J_22 → C_S
noon,T_16_W,C_S,2,590,141.5,57.038,33.0,106,T_16_W → J_01 → J_03 → J_04 → J_19 → J_20 → J_21 → J_22 → C_S
noon,T_16_W,C_S,3,590,141.5,57.113,32.9,105,T_16_W → J_01 → J_03 → J_02 → J_16 → J_18 → J_19 → J_20 → J_21 → J_22 → C_S
noon,T_25,C_T,1,1132,271.5,109.362,37.1,111,T_25 → J_47 → J_45 → J_46 → J_44 → J_41 → J_40 → J_30 → J_27 → J_26 → J_49 → J_19 → J_04 → J_05 → C_T
noon,T_25,C_T,2,1170,280.6,113.014,34.8,104,T_25 → J_47 → J_48 → J_38 → J_43 → J_41 → J_40 → J_30 → J_27 → J_26 → J_49 → J_19 → J_04 → J_05 → C_T
noon,T_25,C_T,3,1302,312.2,125.777,28.1,84,T_25 → J_47 → J_45 → J_46 → J_44 → J_41 → J_40 → J_30 → J_27 → J_26 → J_49 → J_23 → J_20 → J_19 → J_04 → J_05 → C_T
noon,T_25,C_X,1,992,237.9,95.829,35.5,129,T_25 → J_47 → J_45 → J_46 → J_44 → J_41 → J_40 → J_30 → J_27 → J_26 → J_49 → J_23 → C_X
noon,T_25,C_X,2,1030,247.0,99.482,32.9,120,T_25 → J_47 → J_48 → J_38 → J_43 → J_41 → J_40 → J_30 → J_27 → J_26 → J_49 → J_23 → C_X
noon,T_25,C_X,3,1052,252.3,101.634,31.6,115,T_25 → J_47 → J_45 → J_46 → J_44 → J_41 → J_40 → J_30 → J_29 → J_28 → J_25 → J_24 → J_23 → C_X
noon,T_25,C_G,1,642,154.0,62.036,39.9,175,T_25 → J_47 → J_45 → J_46 → J_44 → J_41 → J_40 → J_30 → C_G
