edge_id,from,to,length_m,width_m,capacity,flow_p,flow_b,flow_c,flow_eq,saturation,LOS,risk
105,J_31,J_32,90,8.0,1200.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
106,J_32,J_31,90,8.0,1200.0,297.0,713.2,141.7,385.4,0.3212,A,249898.8
107,J_32,J_33,70,8.0,1200.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
108,J_33,J_32,70,8.0,1200.0,297.0,713.2,141.7,385.4,0.3212,A,249898.8
109,J_33,J_34,80,8.0,1200.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
110,J_34,D_G,5,4.0,600.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
111,J_34,J_33,80,8.0,1200.0,297.0,713.2,141.7,385.4,0.3212,A,249898.8
112,J_34,J_35,100,8.0,1200.0,226.8,356.5,64.8,194.4,0.1620,A,80965.2
113,J_35,J_34,100,8.0,1200.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
114,J_35,J_36,60,8.0,1200.0,226.8,356.5,64.8,194.4,0.1620,A,80965.2
115,J_36,J_35,60,8.0,1200.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
116,J_36,J_37,30,8.0,1200.0,226.8,356.5,64.8,194.4,0.1620,A,80965.2
117,J_37,J_36,30,8.0,1200.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
118,J_37,J_38,220,8.0,1200.0,226.8,356.5,64.8,194.4,0.1620,A,80965.2
119,J_37,J_42,140,8.0,1200.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
120,J_38,J_37,220,8.0,1200.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
121,J_38,J_43,120,8.0,1200.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
122,J_38,J_48,200,8.0,1200.0,226.8,356.5,64.8,194.4,0.1620,A,80965.2
123,J_39,J_29,110,8.0,1200.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
124,J_39,J_40,80,8.0,1200.0,161.5,345.8,66.0,185.9,0.1549,A,62163.2
125,J_39,J_42,120,8.0,1200.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
126,J_40,J_30,100,8.0,1200.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
127,J_40,J_39,80,8.0,1200.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
128,J_40,J_41,60,8.0,1200.0,179.8,413.4,81.6,223.6,0.1863,A,86139.5
129,J_41,J_40,60,8.0,1200.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
130,J_41,J_43,80,8.0,1200.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
131,J_41,J_44,110,8.0,1200.0,179.8,413.4,81.6,223.6,0.1863,A,86139.5
132,J_42,J_43,80,8.0,1200.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
133,J_42,J_39,120,8.0,1200.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
134,J_42,J_37,140,8.0,1200.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
135,J_43,J_41,80,8.0,1200.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
136,J_43,J_42,80,8.0,1200.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
137,J_43,J_38,120,8.0,1200.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
138,J_44,J_41,110,8.0,1200.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
139,J_44,J_46,170,8.0,1200.0,179.8,413.4,81.6,223.6,0.1863,A,86139.5
140,J_45,J_46,40,8.0,1200.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
141,J_45,J_47,152,8.0,1200.0,179.8,413.4,81.6,223.6,0.1863,A,86139.5
142,J_46,J_44,170,8.0,1200.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
143,J_46,J_45,40,8.0,1200.0,179.8,413.4,81.6,223.6,0.1863,A,86139.5
144,J_47,T_25,5,6.0,600.0,406.7,769.8,146.4,418.0,0.6967,C,335966.1
145,J_47,J_45,152,8.0,1200.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
146,J_47,J_48,110,8.0,1200.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
147,J_48,J_38,200,8.0,1200.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
148,J_48,J_47,110,8.0,1200.0,226.8,356.5,64.8,194.4,0.1620,A,80965.2
149,J_49,J_19,80,8.0,1200.0,726.4,1388.0,264.4,753.5,0.6279,C,1085890.3
150,J_49,J_26,120,8.0,1200.0,13.7,63.8,13.7,34.2,0.0285,A,1414.8
151,J_49,J_23,100,8.0,1200.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
