edge_id,from,to,length_m,width_m,capacity,flow_p,flow_b,flow_c,flow_eq,saturation,LOS,risk
129,J_41,J_40,60,8.0,1200.0,385.3,929.8,184.9,502.4,0.4187,B,423550.8
130,J_41,J_43,80,8.0,1200.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
131,J_41,J_44,110,8.0,1200.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
132,J_42,J_43,80,8.0,1200.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
133,J_42,J_39,120,8.0,1200.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
134,J_42,J_37,140,8.0,1200.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
135,J_43,J_41,80,8.0,1200.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
136,J_43,J_42,80,8.0,1200.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
137,J_43,J_38,120,8.0,1200.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
138,J_44,J_41,110,8.0,1200.0,385.3,929.8,184.9,502.4,0.4187,B,423550.8
139,J_44,J_46,170,8.0,1200.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
140,J_45,J_46,40,8.0,1200.0,385.3,929.8,184.9,502.4,0.4187,B,423550.8
141,J_45,J_47,152,8.0,1200.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
142,J_46,J_44,170,8.0,1200.0,385.3,929.8,184.9,502.4,0.4187,B,423550.8
143,J_46,J_45,40,8.0,1200.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
144,J_47,T_25,5,6.0,600.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
145,J_47,J_45,152,8.0,1200.0,385.3,929.8,184.9,502.4,0.4187,B,423550.8
146,J_47,J_48,110,8.0,1200.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
147,J_48,J_38,200,8.0,1200.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
148,J_48,J_47,110,8.0,1200.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
149,J_49,J_19,80,8.0,1200.0,44.8,209.2,44.8,112.1,0.0934,A,15202.3
150,J_49,J_26,120,8.0,1200.0,103.0,161.8,29.4,88.3,0.0736,A,16685.9
151,J_49,J_23,100,8.0,1200.0,127.5,200.3,36.4,109.3,0.0911,A,25575.4
