edge_id,from,to,length_m,width_m,capacity,flow_p,flow_b,flow_c,flow_eq,saturation,LOS,risk
125,N31,GYST,50,99.0,9999.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
126,N32,N31,71,6.0,600.0,113.1,130.6,24.0,74.5,0.1242,A,13971.1
127,N32,N43,76,8.0,800.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
128,N32,N46,134,8.0,800.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
129,N32,GYST,50,99.0,9999.0,2133.5,2023.7,375.0,1195.5,0.1196,A,3966194.6
130,N32,T_7,50,99.0,9999.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
131,N33,N31,135,12.0,1200.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
132,N33,N34,116,12.0,1200.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
133,N33,N46,207,12.0,1200.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
134,N33,N61,109,8.0,800.0,286.9,403.7,73.7,223.5,0.2793,A,113409.4
135,N33,N60,33,8.0,800.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
136,N34,N33,116,12.0,1200.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
137,N34,N35,300,12.0,1200.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
138,N34,N58,232,6.0,600.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
139,N35,N34,300,12.0,1200.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
140,N35,N37,152,12.0,1200.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
141,N35,N57,99,6.0,600.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
142,N35,N36,126,6.0,600.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
143,N36,N35,126,6.0,600.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
144,N36,N37,26,6.0,600.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
145,N36,N38,138,6.0,600.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
146,N37,N35,152,12.0,1200.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
147,N37,N36,26,6.0,600.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
148,N37,N38,112,8.0,800.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
149,N37,N47,202,12.0,1200.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
150,N37,N52,210,8.0,800.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
151,N37,T_9,50,99.0,9999.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
152,N38,N36,138,6.0,600.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
153,N38,N37,112,8.0,800.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
154,N38,N48,200,6.0,600.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
155,N38,N39,270,8.0,800.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
156,N38,N50,207,6.0,600.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
157,N38,T_25,50,99.0,9999.0,140.9,187.0,34.2,104.4,0.0104,A,25518.5
158,N38,T_9,50,99.0,9999.0,170.4,226.1,41.3,126.2,0.0126,A,37312.2
159,N38,T_10,50,99.0,9999.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
160,N39,N38,270,8.0,800.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
161,N39,N40,65,6.0,600.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
162,N39,N41,146,8.0,800.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
163,N39,N48,161,6.0,600.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
164,N39,T_25,50,99.0,9999.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
165,N40,N39,65,6.0,600.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
166,N40,N41,81,6.0,600.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
167,N40,N49,157,6.0,600.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
168,N40,T_8,50,99.0,9999.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
169,N41,N39,146,8.0,800.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
170,N41,N40,81,6.0,600.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
171,N41,N42,226,8.0,800.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
172,N41,N45,390,6.0,600.0,0.0,0.0,0.0,0.0,0.0000,A,0.0
