u,v,width,capacity,baseline_vc,optimized_vc,delta_vc,reduction_pct
N38,T_10,99.0,9999.0,0.0,0.0,0.0,0.0
N39,N38,8.0,800.0,0.0,0.0,0.0,0.0
N39,N40,6.0,600.0,0.0,0.3698,0.3698,0.0
N39,N41,8.0,800.0,0.0,0.1468,0.1468,0.0
N39,N48,6.0,600.0,0.0,0.0,0.0,0.0
N39,T_25,99.0,9999.0,0.0,0.0,0.0,0.0
N40,N39,6.0,600.0,0.0,0.0,0.0,0.0
N40,N41,6.0,600.0,0.0,0.0,0.0,0.0
N40,N49,6.0,600.0,0.0,0.0,0.0,0.0
N40,T_8,99.0,9999.0,0.0,0.0222,0.0222,0.0
N41,N39,8.0,800.0,0.0,0.0,0.0,0.0
N41,N40,6.0,600.0,0.0,0.0,0.0,0.0
N41,N42,8.0,800.0,0.0,0.0,0.0,0.0
N41,N45,6.0,600.0,0.0,0.0,0.0,0.0
N41,T_8,99.0,9999.0,0.0,0.0117,0.0117,0.0
N42,N41,8.0,800.0,0.0,0.0,0.0,0.0
N42,N43,8.0,800.0,0.0,0.0,0.0,0.0
N42,N44,8.0,800.0,0.0,0.0,0.0,0.0
N42,N49,6.0,600.0,0.0,0.0,0.0,0.0
N42,T_7,99.0,9999.0,0.0207,0.0453,0.0246,-118.82
N42,T_8,99.0,9999.0,0.0,0.0,0.0,0.0
N43,N42,8.0,800.0,0.0,0.0,0.0,0.0
N43,N29,8.0,800.0,0.0,0.0,0.0,0.0
N43,N32,8.0,800.0,0.0,0.0,0.0,0.0
N43,T_7,99.0,9999.0,0.0,0.0,0.0,0.0
N44,N28,6.0,600.0,0.0512,0.027,-0.0242,47.2
N44,N42,8.0,800.0,0.0,0.0,0.0,0.0
N44,N29,6.0,600.0,0.2883,0.2712,-0.0171,5.92
N44,N45,8.0,800.0,0.0,0.0,0.0,0.0
N44,T_6,99.0,9999.0,0.0,0.0,0.0,0.0
N45,N18,8.0,800.0,0.0,0.0431,0.0431,0.0
N45,N41,6.0,600.0,0.0,0.0,0.0,0.0
N45,N44,8.0,800.0,0.0,0.0,0.0,0.0
N45,T_6,99.0,9999.0,0.0,0.001,0.001,0.0
N46,N33,12.0,1200.0,0.0,0.1823,0.1823,0.0
N46,N32,8.0,800.0,0.0,0.0,0.0,0.0
N46,N47,12.0,1200.0,0.0,0.0,0.0,0.0
N46,N49,12.0,1200.0,0.0,0.0,0.0,0.0
N46,T_7,99.0,9999.0,0.0,0.0115,0.0115,0.0
N47,N37,12.0,1200.0,0.0,0.0,0.0,0.0
N47,N46,12.0,1200.0,0.0,0.1617,0.1617,0.0
