u,v,length,width,capacity,flow_pcu,flow_p,flow_b,flow_c,V/C,LOS
N59,N58,88.8,8.0,800.0,0.0,0.0,0.0,0.0,0.0,A
N59,N61,159.2,8.0,800.0,0.0,0.0,0.0,0.0,0.0,A
N59,N62,22.5,6.0,600.0,0.0,0.0,0.0,0.0,0.0,A
N60,N33,32.7,8.0,800.0,0.0,0.0,0.0,0.0,0.0,A
N60,N61,76.6,8.0,800.0,188.63,227.08,334.49,65.58,0.2358,A
N61,N33,109.2,8.0,800.0,0.0,0.0,0.0,0.0,0.0,A
N61,N59,159.2,8.0,800.0,0.0,0.0,0.0,0.0,0.0,A
N61,N60,76.6,8.0,800.0,0.0,0.0,0.0,0.0,0.0,A
N61,N62,137.1,6.0,600.0,0.0,0.0,0.0,0.0,0.0,A
N61,GYGY,50.0,99.0,9999.0,377.55,502.9,677.96,123.87,0.0378,A
N62,N59,22.5,6.0,600.0,0.0,0.0,0.0,0.0,0.0,A
N62,N61,137.1,6.0,600.0,0.0,0.0,0.0,0.0,0.0,A
N62,GYGY,50.0,99.0,9999.0,0.0,0.0,0.0,0.0,0.0,A
N63,N30,140.0,6.0,600.0,0.0,0.0,0.0,0.0,0.0,A
N63,N64,110.0,6.0,600.0,0.0,0.0,0.0,0.0,0.0,A
N64,N63,110.0,6.0,600.0,0.0,0.0,0.0,0.0,0.0,A
SYJ,N13,50.0,99.0,9999.0,0.0,0.0,0.0,0.0,0.0,A
TYGY,N3,50.0,99.0,9999.0,0.0,0.0,0.0,0.0,0.0,A
TYGY,N4,50.0,99.0,9999.0,0.0,0.0,0.0,0.0,0.0,A
TYGY,N7,50.0,99.0,9999.0,0.0,0.0,0.0,0.0,0.0,A
TYST,N14,30.0,99.0,9999.0,0.0,0.0,0.0,0.0,0.0,A
XYST,N30,50.0,99.0,9999.0,331.07,393.93,606.99,109.58,0.0331,A
XYST,N12,50.0,99.0,9999.0,857.66,1836.25,1383.23,259.07,0.0858,A
XYST,N28,50.0,99.0,9999.0,125.7,386.73,173.08,35.1,0.0126,A
XYST,N29,50.0,99.0,9999.0,80.81,96.36,150.66,25.97,0.0081,A
XYGY,N13,50.0,99.0,9999.0,0.0,0.0,0.0,0.0,0.0,A
XYGY,N12,50.0,99.0,9999.0,0.0,0.0,0.0,0.0,0.0,A
GYST,N28,50.0,99.0,9999.0,632.02,1242.14,1079.32,184.01,0.0632,A
GYST,N29,50.0,99.0,9999.0,491.21,793.42,814.97,167.38,0.0491,A
GYST,N31,50.0,99.0,9999.0,127.79,149.09,234.29,42.6,0.0128,A
GYST,N32,50.0,99.0,9999.0,0.0,0.0,0.0,0.0,0.0,A
CYGY,N28,50.0,99.0,9999.0,0.0,0.0,0.0,0.0,0.0,A
GYGY,N61,50.0,99.0,9999.0,0.0,0.0,0.0,0.0,0.0,A
GYGY,N62,50.0,99.0,9999.0,0.0,0.0,0.0,0.0,0.0,A
T_16,N15,30.0,99.0,9999.0,752.03,1888.68,1148.6,218.58,0.0752,A
T_16,N16,30.0,99.0,9999.0,284.82,785.06,421.56,79.84,0.0285,A
T_25,N48,50.0,99.0,9999.0,205.27,310.78,355.78,67.45,0.0205,A
T_25,N39,50.0,99.0,9999.0,339.29,482.79,593.77,112.88,0.0339,A
T_25,N38,50.0,99.0,9999.0,15.0,17.5,27.5,5.0,0.0015,A
T_1,N25,50.0,99.0,9999.0,195.48,475.54,303.87,56.76,0.0195,A
T_1,N24,50.0,99.0,9999.0,21.08,47.27,31.69,6.84,0.0021,A
T_1,N22,50.0,99.0,9999.0,0.0,0.0,0.0,0.0,0.0,A
T_1,N18,50.0,99.0,9999.0,15.99,19.05,28.42,5.56,0.0016,A
T_1,N20,50.0,99.0,9999.0,0.0,0.0,0.0,0.0,0.0,A
T_2,N14,50.0,99.0,9999.0,959.36,2566.52,1430.55,273.55,0.0959,A
T_2,N15,50.0,99.0,9999.0,145.84,309.99,236.36,43.93,0.0146,A
T_2,N6,50.0,99.0,9999.0,0.0,0.0,0.0,0.0,0.0,A
T_2,N27,50.0,99.0,9999.0,0.0,0.0,0.0,0.0,0.0,A
T_3,N3,50.0,99.0,9999.0,154.55,554.78,198.14,39.63,0.0155,A
T_3,N4,50.0,99.0,9999.0,0.0,0.0,0.0,0.0,0.0,A
T_3,N5,50.0,99.0,9999.0,14.47,42.85,20.61,4.0,0.0014,A
T_3,N2,50.0,99.0,9999.0,0.0,0.0,0.0,0.0,0.0,A
T_4,N4,50.0,99.0,9999.0,958.9,2707.79,1394.49,269.78,0.0959,A
T_4,N14,50.0,99.0,9999.0,16.56,49.59,23.48,4.56,0.0017,A
T_5,N16,50.0,99.0,9999.0,174.01,580.97,233.03,46.0,0.0174,A
T_6,N44,50.0,99.0,9999.0,178.96,452.24,273.25,51.76,0.0179,A
T_6,N45,50.0,99.0,9999.0,34.5,41.0,62.28,11.71,0.0035,A
T_7,N42,50.0,99.0,9999.0,0.0,0.0,0.0,0.0,0.0,A
T_7,N43,50.0,99.0,9999.0,0.0,0.0,0.0,0.0,0.0,A
T_7,N32,50.0,99.0,9999.0,1154.21,2088.49,1946.75,361.34,0.1154,A
T_7,N46,50.0,99.0,9999.0,140.19,209.19,247.14,45.13,0.014,A
T_7,N49,50.0,99.0,9999.0,0.0,0.0,0.0,0.0,0.0,A
T_8,N42,50.0,99.0,9999.0,452.92,784.69,763.49,145.4,0.0453,A
T_8,N41,50.0,99.0,9999.0,0.0,0.0,0.0,0.0,0.0,A
T_8,N49,50.0,99.0,9999.0,93.04,170.2,156.62,29.03,0.0093,A
T_8,N40,50.0,99.0,9999.0,0.0,0.0,0.0,0.0,0.0,A
T_9,N47,50.0,99.0,9999.0,194.0,248.02,354.12,62.96,0.0194,A
T_9,N37,50.0,99.0,9999.0,0.0,0.0,0.0,0.0,0.0,A
T_9,N38,50.0,99.0,9999.0,0.0,0.0,0.0,0.0,0.0,A
T_9,N48,50.0,99.0,9999.0,240.2,339.89,436.2,75.35,0.024,A
T_10,N38,50.0,99.0,9999.0,258.0,301.0,473.0,86.0,0.0258,A
T_10,N50,50.0,99.0,9999.0,0.0,0.0,0.0,0.0,0.0,A
