# 节点清单 (名称, 类型)
# 类型说明: 交叉口=道路交叉口, 建筑类节点可按需修改
N1, 交叉口
N2, 交叉口
N3, 交叉口
N4, 交叉口
N5, 交叉口
N6, 交叉口
N7, 交叉口
N8, 交叉口
N9, 交叉口
N10, 交叉口
N11, 交叉口
N12, 交叉口
N13, 交叉口
N14, 交叉口
N15, 交叉口
N16, 交叉口
N17, 交叉口
N18, 交叉口
N19, 交叉口
N20, 交叉口
N21, 交叉口
N22, 交叉口
N23, 交叉口
N24, 交叉口
N25, 交叉口
N26, 交叉口
N27, 交叉口
N28, 交叉口
N29, 交叉口
N30, 交叉口
N31, 交叉口
N32, 交叉口
N33, 交叉口
N34, 交叉口
N35, 交叉口
N36, 交叉口
N37, 交叉口
N38, 交叉口
N39, 交叉口
N40, 交叉口
N41, 交叉口
N42, 交叉口
N43, 交叉口
N44, 交叉口
N45, 交叉口
N46, 交叉口
N47, 交叉口
N48, 交叉口
N49, 交叉口
N50, 交叉口
N51, 交叉口
N52, 交叉口
N53, 交叉口
N54, 交叉口
N55, 交叉口
N56, 交叉口
N57, 交叉口
N58, 交叉口
N59, 交叉口
N60, 交叉口
N61, 交叉口
N62, 交叉口
N63, 交叉口
N64, 交叉口

# 边清单 (起点, 终点, 长度m, 宽度m)
# 宽度说明: >=7.0m→通行能力1200pcu/h, >=4.0m→600pcu/h, <4.0m→300pcu/h
# 依据总规图更新: 蓝色交通性主干道=12.0m, 橙色生活性次干道=8.0m, 支路=6.0m
T_7, N46, 50, 99, 119.63924121, 29.13657711, 119.64011325, 29.13721448
T_7, N49, 50, 99, 119.63924121, 29.13657711, 119.64049939, 29.13614616
#2   外语 23 22

T_8, N42, 50, 99, 119.64003742, 29.13560250, 119.63831129, 29.13588376
T_8, N41, 50, 99, 119.64003742, 29.13560250, 119.64022051, 29.13472172
T_8, N49, 50, 99, 119.64003742, 29.13560250, 119.64049939, 29.13614616
T_8, N40, 50, 99, 119.64003742, 29.13560250, 119.64104641, 29.13481543
#2   数信 21 20

T_9, N47, 50, 99, 119.64290324, 29.13704265, 119.64159344, 29.13743002
T_9, N37, 50, 99, 119.64290324, 29.13704265, 119.64366355, 29.13762681
T_9, N38, 50, 99, 119.64290324, 29.13704265, 119.64367427, 29.13661472
T_9, N48, 50, 99, 119.64290324, 29.13704265, 119.64163634, 29.13633359
#2    法商 26 27

T_10, N38, 50, 99, 119.64466033, 29.13632409, 119.64367427, 29.13661472
T_10, N50, 50, 99, 119.64466033, 29.13632409, 119.64577746, 29.13692397
#2    科技楼 28 29

